"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Pivotable date"
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-01,3300,monthly,105.02,2006-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-01,9299,monthly,95.67,2006-01-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-01,6843,monthly,93.0,2006-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-01,7279,monthly,95.5,2006-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-02,6405,monthly,91.63,2006-02-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-02,3597,monthly,103.39,2006-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-02,9928,monthly,96.74,2006-02-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-02,7057,monthly,93.73,2006-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-02,7413,monthly,96.2,2006-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-03,8741,monthly,92.03,2006-03-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-03,5123,monthly,105.66,2006-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-03,13234,monthly,96.4,2006-03-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-03,9468,monthly,93.89,2006-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-03,9781,monthly,96.65,2006-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-04,7912,monthly,94.63,2006-04-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-04,4571,monthly,107.73,2006-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-04,11814,monthly,99.82,2006-04-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-04,8468,monthly,94.79,2006-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-04,9414,monthly,99.04,2006-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-05,8881,monthly,94.43,2006-05-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-05,4795,monthly,108.2,2006-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-05,13340,monthly,100.21,2006-05-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-05,9476,monthly,97.16,2006-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-05,10116,monthly,99.27,2006-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-06,10659,monthly,95.29,2006-06-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-06,5746,monthly,110.18,2006-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-06,15763,monthly,101.74,2006-06-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-06,11271,monthly,96.73,2006-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-06,12396,monthly,100.28,2006-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2006-07,9425,monthly,97.01,2006-07-01
North East,http://landregistry.data.gov.uk/id/region/north-east,E12000001,2006-07,5313,monthly,111.21,2006-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2006-07,13848,monthly,102.64,2006-07-01
West Midlands Region,http://landregistry.data.gov.uk/id/region/west-midlands-region,E12000005,2006-07,9937,monthly,96.77,2006-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2006-07,11170,monthly,101.61,2006-07-01
